,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
1845,600218,全柴动力,0.0484,0.0454,1.8243,0.1146,12.4557
1846,300137,先河环保,0.0484,0.0186,0.3309,0.1354,14.1456
1847,600222,太龙药业,0.0484,0.0187,11.183,0.0432,4.7505
1848,002167,东方锆业,0.0484,0.0101,,0.016,2.2746
1849,600138,中青旅,0.0482,0.0534,1.1176,0.1436,14.5343
1850,002613,北玻股份,0.0481,0.0224,1.9947,0.1296,13.8739
1851,002475,立讯精密,0.0481,0.0421,0.4307,0.0854,8.8228
1852,300105,龙源技术,0.0481,0.0144,,0.0581,5.9328
1853,002594,比亚迪,0.048,0.0333,1.2243,0.0484,5.8117
1854,600038,中直股份,0.048,0.0265,1.3775,0.0374,3.9248
1855,603609,禾丰牧业,0.048,0.1131,1.4353,0.3913,40.145
1856,300355,蒙草生态,0.0478,0.0186,0.48700000000000004,0.0363,3.8342
1857,002558,世纪游轮,0.0478,0.0356,,0.601,60.0967
1858,002380,科远股份,0.0476,0.016,0.3294,0.0758,8.0938
1859,600637,东方明珠,0.0471,0.0282,0.3217,0.1198,14.6569
1860,000877,天山股份,0.0469,0.0115,,0.0181,2.1819
1861,300332,天壕环境,0.0469,0.0108,0.3223,0.0251,4.199
1862,600282,南钢股份,0.0468,0.0286,,0.0347,4.1343
1863,000961,中南建设,0.0466,0.0099,2.1595,0.0115,1.5363
1864,002593,日上集团,0.0465,0.0201,1.7042,0.0488,5.9197
1865,002171,楚江新材,0.0463,0.1308,4.8919999999999995,0.3294,35.1196
1866,002196,方正电机,0.046,0.0132,0.6385,0.0706,8.1335
1867,002011,盾安环境,0.046,0.026000000000000002,3.9751,0.0407,5.404
1868,000859,国风塑业,0.0456,0.0257,11.9014,0.1052,12.3694
1869,002092,中泰化学,0.0452,0.0186,3.6776,0.0275,5.4377
1870,600153,建发股份,0.0451,0.0581,1.6212,0.0794,10.7271
1871,600552,凯盛科技,0.0451,0.0111,0.4159,0.0228,2.377
