,code,name,mbrg,nprg,nav,targ,epsg,seg
907,002100,天康生物,3.8027,21.4123,27.5472,26.3745,-43.75,27.1221
908,600743,华远地产,10.195,21.3603,10.017999999999999,5.3795,11.1111,13.2572
909,000543,皖能电力,-12.1911,21.359,4.6884,-0.8811,-26.7045,3.0977
910,002143,印纪传媒,-23.5338,21.3281,61.8516,31.6085,8.3333,50.5324
911,000661,长春高新,6.1789,21.2248,19.1023,21.1877,21.0744,21.7585
912,600550,保变电气,3.3989,21.2118,-54.5759,-6.1401,20.4082,-67.1701
913,300024,机器人,10.6237,21.208000000000002,165.6427,102.4687,20.0,169.8438
914,002367,康力电梯,15.9158,21.1704,15.2861,7.1655,21.5467,15.4317
915,600196,复星医药,4.849,21.1332,8.2011,8.1091,16.3043,9.0359
916,000498,山东路桥,8.4248,21.1006,14.4607,3.888,20.9052,14.472999999999999
917,300042,朗科科技,91.5192,21.0218,1.4433,2.4786,21.0386,1.4433
918,600400,红豆股份,-6.7285,20.9271,46.3974,16.6935,16.6667,51.3705
919,300395,菲利华,18.4744,20.8939,10.8955,14.4907,-50.9228,10.8955
920,300124,汇川技术,23.5437,20.8538,17.6606,27.2991,21.1765,17.067999999999998
921,002236,大华股份,37.4522,20.6997,26.0092,43.974,18.8119,24.7916
922,000966,长源电力,-7.1948,20.691999999999997,35.9926,-7.7994,37.9576,41.0732
923,600329,中新药业,-0.0893,20.6705,39.3173,11.6175,25.0,41.8967
924,600613,神奇制药,23.1272,20.655,14.4079,18.515,10.0,13.4338
925,002610,爱康科技,7.0868,20.616999999999997,4.835,44.595,-48.2759,4.792
926,300333,兆日科技,10.8672,20.6115,3.7387,4.3241,-62.4545,3.7377
927,600518,康美药业,13.2774,20.5856,12.6787,36.6792,-40.0962,12.2587
928,300239,东宝生物,16.2763,20.4884,107.4686,47.02,17.4089,107.4686
929,002603,以岭药业,9.0237,20.3979,6.0012,12.167,-38.0952,5.7422
930,002090,金智科技,5.2844,20.3356,51.4441,60.206,14.2912,49.0301
931,300412,迦南科技,18.2843,20.3267,10.9237,18.1956,-58.8785,9.9126
932,000637,茂化实华,-23.6063,20.2814,5.5727,4.904,21.4286,5.4242
933,002215,诺普信,0.3187,20.2392,12.8617,21.8038,-10.7143,12.8668
934,300329,海伦钢琴,4.5256,20.1916,42.0921,33.0755,-32.3684,43.1408
935,600380,健康元,16.5004,20.1798,11.7038,14.1611,15.3578,8.0762
