code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
000423,东阿阿胶,中成药,山东,23.38,65386.73,65402.14,894670.81,669908.5,137263.23,69773.81,1.07,1.2670000000000001,11.19,5.3,19960729
600783,鲁信创投,矿物制品,山东,31.43,74435.92,74435.92,558355.94,80159.31,8642.78,116976.21,1.57,0.414,5.01,5.19,19961225
600479,千金药业,中成药,湖南,77.88,30481.91,34875.58,288171.66,203545.0,40396.5,66045.67,1.89,0.107,4.68,3.57,20040312
000020,深华发Ａ,元器件,深圳,437.62,18116.53,28316.11,61974.82,42869.12,10801.88,14628.36,0.52,0.026000000000000002,1.13,19.97,19920428
000705,浙江震元,医药商业,浙江,96.09,28194.22,33412.32,201814.27,110490.95,46838.78,53715.5,1.61,0.078,3.81,3.94,19970410
002435,长江润发,机械基件,江苏,146.91,18373.0,19800.0,137000.88,66335.15,40954.15,42608.17,2.15,0.075,4.37,5.02,20100618
600318,新力金融,多元金融,安徽,48.49,24200.0,24200.0,646104.06,146221.38,508.21,35361.32,1.46,0.33,5.03,6.37,20001208
002563,森马服饰,服饰,浙江,28.18,183366.81,269454.03,1106212.0,735154.19,116077.27,255443.2,0.95,0.19,3.36,3.19,20110311
601002,晋亿实业,机械基件,浙江,178.23,79269.0,79269.0,400329.44,244564.41,126041.26,110231.45,1.39,0.027000000000000003,2.86,3.35,20070126
300324,旋极信息,软件服务,北京,112.41,55998.44,99996.63,251632.72,136858.52,11561.78,14459.2,0.14,0.11,1.43,15.75,20120608
600161,天坛生物,生物制药,北京,110.59,51546.69,51546.69,574892.38,194428.27,252457.25,16405.57,0.32,0.188,3.95,10.52,19980616
000897,津滨发展,区域地产,天津,149.64,161720.06,161727.2,646612.25,607662.38,1061.89,30965.06,0.19,0.015,0.79,5.76,19990422
603088,宁波精达,专用机械,浙江,176.34,2500.0,8000.0,61009.38,34727.28,13605.76,23585.03,2.95,0.147,5.75,9.0,20141111
002803,吉宏股份,广告包装,福建,145.86,2900.0,11600.0,64827.61,32118.5,24891.84,3596.51,0.31,0.21,2.36,19.31,20160712
300094,国联水产,渔业,广东,322.55,74567.09,77837.56,257665.66,199146.31,31149.3,99872.18,1.28,0.011000000000000001,2.24,3.25,20100708
000338,潍柴动力,汽车配件,山东,17.68,215945.56,399861.94,12532883.0,6665950.0,2443043.25,4637.81,0.01,0.263,7.99,1.16,20070430
603007,花王股份,建筑施工,江苏,66.38,3335.0,13335.0,116420.31,64974.51,2714.98,5706.85,0.43,0.386,4.58,11.2,20160826
002599,盛通股份,广告包装,北京,161.97,9113.44,13500.0,133089.2,52023.71,67220.99,31474.64,2.33,0.105,4.9,6.92,20110715
002730,电光科技,电气设备,浙江,184.26,10267.4,32267.4,123331.75,75567.21,32599.02,17854.59,0.55,0.062,2.57,8.82,20141009
300476,胜宏科技,元器件,广东,49.84,18430.05,37390.0,217429.3,137398.59,71080.21,56464.51,1.51,0.255,3.45,7.35,20150611
603843,正平股份,建筑施工,青海,154.47,9970.0,40000.3,295740.75,250092.38,14109.87,1976.23,0.05,0.059000000000000004,2.4,7.54,20160905
002302,西部建设,水泥,新疆,54.06,93397.97,103223.4,1303688.88,999314.88,239971.5,105263.17,1.02,0.075,3.92,2.06,20091103
600704,物产中大,商贸代理,浙江,21.23,89179.7,287112.16,7972791.0,5728090.0,459397.16,547314.06,1.91,0.21,6.57,1.64,19960606
300216,千山药机,医疗保健,湖南,519.72,26730.44,36143.48,319295.16,160927.77,45428.1,21622.02,0.6,0.03,2.76,11.25,20110511
000570,苏常柴Ａ,机械基件,江苏,81.6,41137.42,56137.42,320441.69,193114.56,57196.05,16432.85,0.29,0.062,3.52,2.89,19940701
600108,亚盛集团,农业综合,甘肃,133.86,194691.52,194691.52,758832.19,253566.72,130399.36,53895.9,0.28,0.02,2.4,2.28,19970818
300012,华测检测,电器仪表,深圳,326.55,67759.77,76574.06,193341.19,71757.03,59092.46,3347.33,0.04,0.021,1.84,7.48,20091030
600150,中国船舶,船舶,上海,946.55,137811.77,137811.77,5190081.0,3603087.5,1152547.88,462036.56,3.35,0.012,12.75,1.84,19980520
000811,烟台冰轮,工程机械,山东,18.43,40323.96,43536.94,464740.84,213321.45,59530.88,26795.15,0.62,0.39299999999999996,4.96,2.92,19980528
600535,天士力,中成药,天津,34.41,103284.27,108047.59,1571882.63,1007795.38,301162.94,173792.77,1.61,0.634,7.1,6.15,20020823
601669,中国电建,建筑施工,北京,12.42,960000.0,1375463.38,44358520.0,25932948.0,7900307.0,1259286.5,0.92,0.251,4.3,1.45,20111018
601618,中国中冶,建筑施工,北京,16.61,1623900.0,1911000.0,35935296.0,29006140.0,3031864.75,1787449.25,0.94,0.11,3.22,1.3,20090921
000590,启迪古汉,中成药,湖南,196.26,22323.61,22333.13,61147.28,24751.24,14319.75,15244.8,0.68,0.053,0.97,21.54,19960119
002054,德美化工,化工原料,广东,25.12,31481.14,41923.07,294691.63,129481.76,65278.06,14820.12,0.35,0.237,4.2,2.84,20060725
002379,*ST鲁丰,铝,山东,404.59,67559.63,92640.0,217199.02,153348.27,19346.84,56846.86,0.61,0.008,1.3,4.89,20100331
000510,金路集团,化工原料,四川,312.97,56343.35,60918.23,139989.47,30490.96,95553.11,4489.06,0.07,0.013999999999999999,1.24,6.85,19930507
002709,天赐材料,化工原料,广东,40.92,14442.54,32535.96,187979.34,90055.61,46292.28,49556.17,1.52,0.6,4.16,11.66,20140123
000016,深康佳Ａ,家用电器,深圳,468.1,159659.38,240794.55,1488178.88,1131645.25,160482.81,8089.9,0.03,0.005,1.17,4.27,19920327
300209,天泽信息,软件服务,江苏,161.12,21071.24,29212.23,230402.02,107378.4,12020.58,148182.86,5.07,0.1,6.59,3.9,20110426
600843,上工申贝,纺织机械,上海,42.73,30464.58,54858.96,340953.47,227139.97,35497.95,96815.75,1.76,0.184,3.4,4.64,19940311
603111,康尼机电,运输设备,江苏,45.95,37880.0,73838.32,241656.09,199089.47,30981.05,3588.51,0.05,0.16399999999999998,1.64,9.18,20140801
002713,东易日盛,装修装饰,北京,0.0,6242.02,25385.8,237898.3,143654.86,24549.06,39288.98,1.55,-0.053,3.36,7.71,20140219
002329,皇氏集团,乳制品,广西,68.83,46194.75,83764.0,483710.59,173003.27,51539.53,130885.07,1.56,0.121,3.21,5.17,20100106
600148,长春一东,汽车配件,吉林,746.33,14151.63,14151.63,86433.8,65638.81,18148.65,8911.74,0.63,0.016,2.58,9.3,19980520
300527,华舟应急,专用机械,湖北,102.71,11570.0,46270.0,215044.3,160759.77,34960.1,29019.11,0.63,0.16,2.86,11.49,20160805
600072,钢构工程,船舶,上海,0.0,47842.96,47842.96,193750.06,101381.25,70435.61,40558.23,0.85,-0.106,2.29,6.73,19970603
600839,四川长虹,家用电器,四川,22.14,460999.78,461624.44,5612546.5,4093216.75,550782.0,390904.72,0.85,0.1,2.72,1.63,19940311
